#{"t_start": 1765153653.31752, "env_id": "BipedalWalker-v3"}
r,l,t
-125.205679,115,1.145395
-105.992658,1600,3.18684
-119.250933,139,3.500691
-109.747937,94,3.580692
-87.696983,1600,5.401143
-83.660136,1600,8.35381
-114.341037,68,8.420437
-106.727939,78,8.483643
-97.436347,1600,10.523535
-104.350892,1600,13.749443
-98.703847,1600,16.828783
-95.719872,1600,18.982759
-91.199681,1600,21.547289
-82.126055,1600,26.124546
-140.697469,453,26.635545
-71.238886,1600,29.404344
-79.693286,1600,31.467325
-116.070044,85,31.606556
-83.837789,1600,34.691395
-116.336134,74,34.765279
-108.603009,66,34.838455
-117.19808,56,34.89878
-84.019829,1600,38.963298
-80.720977,1600,41.496499
-116.307428,56,41.549326
-111.468867,78,41.61618
-115.82856,114,41.783087
-115.275285,95,41.861461
-113.057924,66,41.925799
-81.818127,1600,44.424853
-118.613481,79,44.517335
-139.325168,1071,46.088499
-101.602579,99,46.243817
-113.716018,212,46.425709
-102.712799,76,46.781835
-110.943552,66,46.852819
-106.410553,90,46.933223
-113.233338,77,47.108342
-78.315368,1600,49.948351
-109.17666,68,50.013866
-126.185271,128,50.207994
-103.668514,61,50.26158
-111.234576,101,50.38549
-107.652752,39,50.433556
-116.923265,115,50.790295
-113.97274,92,50.880974
-110.44047,52,50.921848
-118.543676,118,51.092168
-73.758163,1600,56.202281
-111.856528,91,56.321304
-109.662735,64,56.691108
-113.137773,53,56.741864
-108.336054,78,56.805158
-113.402368,71,56.876131
-103.922486,71,57.412376
-115.306882,74,57.505936
-114.649963,112,57.752154
-113.55371,51,57.936593
-116.195837,50,57.995105
-110.864709,69,58.063153
-108.070106,91,58.139376
-111.39601,58,58.524182
-115.519517,71,58.575147
-67.004478,1600,62.852465
-107.058044,105,63.110654
-107.283882,111,63.213057
-116.183855,76,63.289255
-137.06948,870,64.437312
-108.514304,42,64.47833
-98.184459,145,64.716408
-108.697956,51,64.769255
-116.214013,84,64.849914
-109.453399,44,64.902322
-104.972264,96,65.038801
-103.944837,115,65.164466
-68.354122,1600,67.029087
-55.526683,1600,69.282176
-147.252959,1294,70.995791
-112.142543,110,71.11326
-104.467003,114,71.211898
-118.03285,78,71.314566
-111.879748,164,71.497627
-122.626309,606,72.324849
-108.034515,134,72.447868
-100.804547,71,72.685639
-104.297383,95,72.802904
-102.710677,112,72.992101
